growth,FIPS,pop2010,pop2000,age_under_5,age_under_18,age_over_65,female,black,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,mean_work_travel,home_ownership,housing_multi_unit,median_val_owner_occupied,persons_per_household,per_capita_income,poverty,sales_per_capita,density
24.9593551784937,1001,54571,43671,6.6,26.8,12,51.3,17.7,2.4,77.2,86.3,2,3.7,85.3,21.7,25.1,77.5,7.2,133900,2.7,24568,10.6,12003,91.8
29.8045080653776,1003,182265,140415,6.1,23,16.8,51.1,9.4,4.4,83.5,83,3.6,5.5,87.6,26.8,25.8,76.7,22.6,177200,2.5,26469,12.2,17166,114.6
-5.44458984778566,1005,27457,29038,6.2,21.9,14.2,46.9,46.9,5.1,46.8,83,2.8,4.7,71.9,13.5,23.8,68,11.1,88200,2.52,15875,25,6334,31
10.0307308172477,1007,22915,20826,6,22.7,12.7,46.3,22,1.8,75,90.5,0.7,1.5,74.5,10,28.3,82.9,6.6,81200,3.02,19918,12.6,5804,36.8
12.3432110379429,1009,57322,51024,6.3,24.6,14.7,50.5,1.3,8.1,88.9,87.2,4.7,7.2,74.7,12.5,33.2,82,3.7,113700,2.73,21070,13.4,5622,88.9
-6.82943486426498,1011,10914,11714,6.8,22.3,13.5,45.8,70.2,7.1,21.9,88.5,1.1,3.8,74.7,12,28.1,76.9,9.9,66300,2.85,20289,25.3,3995,17.5
-2.11224823589887,1013,20947,21399,6.5,24.1,16.7,53,43.4,0.9,54.1,92.8,1.1,1.6,74.8,11,25.1,69,13.7,70200,2.58,16916,25,11326,27
5.63301232082245,1015,118572,112249,6.1,22.9,14.3,51.8,20.6,3.3,73.6,82.9,2.5,4.5,78.5,16.1,22.1,70.7,14.3,98200,2.46,20574,19.5,13678,195.7
-6.47295191755734,1017,34215,36583,5.7,22.5,16.7,52.2,38.7,1.6,58.1,86.2,0.9,1.6,71.8,10.8,23.6,71.4,8.7,82200,2.51,16626,20.3,7620,57.4
8.3416708354177,1019,25989,23988,5.3,21.4,17.9,50.4,4.6,1.2,92.1,88.1,0.5,1.4,73.4,10.5,26.2,77.5,4.3,97100,2.22,21322,17.6,7613,46.9
10.2290808981386,1021,43643,39593,6.9,25.1,13.6,50.5,9.7,7.8,81.1,88.1,4,6,75.9,12.2,32,75.1,4.4,103700,2.59,20517,18.4,8496,63
-12.9569149604321,1023,13859,15922,5.4,22.7,18.2,51.7,43.4,0.5,55.6,92.1,0.3,1.6,71.1,10.9,34.8,85.6,3.9,63400,2.61,17214,18.7,5969,15.2
-7.29895575411778,1025,25833,27867,5.7,24.7,16.2,52.7,43.9,1,54,93.5,0.2,1.1,76.1,13.5,25.1,80,6.3,73300,2.84,17372,29.2,13034,20.9
-2.25901501332959,1027,13932,14254,5.7,22.6,17.6,51,14.8,2.9,80.3,84.9,2,2.8,71.4,9.5,27.3,72.8,11.2,82900,2.24,18332,18.8,5123,23.1
6.01147065071161,1029,14972,14123,6.3,23.7,15.8,50.2,3.3,2.1,93.2,86.1,1.2,1.8,70.3,8.4,29.1,74.9,5.3,87900,2.71,17490,17.1,9080,26.7
14.5202338644962,1031,49948,43615,6.6,24.2,14.4,50.6,16.7,6.4,72.3,80.9,4.6,6.3,79.3,22.1,20.7,69.7,13.6,116700,2.51,22797,17.2,13665,73.6
-1.01120325912993,1033,54428,54984,5.8,22.1,17.4,51.9,16.1,2,79.6,85,1.6,2.6,80.1,16.4,22.7,73.5,12.3,94700,2.41,21079,15.7,15040,91.8
-6.1111505429768,1035,13228,14089,5.9,23,17.9,51.5,46.5,1.2,51.1,95.9,0,1,71.3,9.7,25.2,81.6,6,72500,2.74,15755,30.6,5430,15.6
-5.43353548598591,1037,11539,12202,4.9,20.5,17.1,50.4,31,2,65.9,88.6,0.6,1.4,73.1,10.6,30.2,83.7,1.9,73100,2.43,19209,16,1904,17.7
0.356089394382297,1039,37765,37631,6,22.6,18.4,51.6,12.5,1.3,84.1,88.3,1.5,2.2,76.5,13.1,20.8,74,6.1,85700,2.54,19822,19,11544,36.6
1.76362971094035,1041,13906,13665,6,23.8,15.9,51.7,23.4,1.5,72.1,89.1,4.1,4.6,73.7,10.1,27.4,67.8,9.2,71900,2.46,19793,17.7,5491,22.8
3.77244040628266,1043,80406,77483,6.1,23.2,15.9,50.6,1.1,4.3,92.7,85.3,2.6,4.2,76.9,13.8,27.4,74.7,8.5,102200,2.51,20284,16.7,10757,109.4
2.28378350872194,1045,50251,49129,7.3,24.8,13.5,50.6,19.3,5.6,71.1,76.5,3.6,6.2,82.2,17.5,20,61.2,13.2,93900,2.49,21722,14.8,6889,89.6
-5.48905424350265,1047,43820,46365,7.3,26.5,14.1,53.8,69.4,0.7,28.9,85.8,0.7,1.4,76.8,14.3,24.7,62.6,16,70300,2.6,16646,31.8,10223,44.8
10.3286166449451,1049,71109,64452,7.1,25.8,13.9,50.6,1.5,13.6,81.6,87.4,7.2,10.4,68.1,10.9,23.1,77.5,6.4,84400,2.65,18152,20,9303,91.5
20.3858882108267,1051,79303,65874,6.1,23.6,11.9,51.2,20,2.7,75,83.2,2.2,3.7,83.8,20.2,27.5,77.6,7,136500,2.55,22640,12.4,7982,128.2
